.model,nypd_pct_cd,call_type,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
base_ets,71,<aggregated>,Test,-10.399117781886442,21.234376352706672,18.526311280651356,-6.065682324351658,9.939162974039585,0.6412719564641156,0.5609429509050498,0.0399354523399757
base_ets,72,CIP,Test,2.5997714769389577,3.6987916950286603,3.253050996738625,14.513713096842958,21.04650829483963,0.6749800244588275,0.6144214213292953,0.12774374832474625
base_ets,72,Non CIP,Test,12.302652169626317,34.136806491247924,16.762849902405083,3.6676709360658855,5.665680005107047,0.6715561576710536,1.0546337006663924,-0.18089477015860062
base_ets,72,<aggregated>,Test,14.415494445038593,35.29376853527837,17.993430509138616,4.276390657522803,5.788614355837351,0.710289193093986,1.0778758132180297,-0.22755010695164962
base_ets,73,CIP,Test,7.150557947996176,8.901839186982613,8.329736073753654,14.139614086538986,17.508694445846064,1.065470595619897,0.8955247785540034,0.08887562417915709
base_ets,73,Non CIP,Test,-70.91404916966434,77.61253934704597,70.91404916966434,-17.99756178665649,17.99756178665649,1.7828382288211089,1.5300220888784737,0.5507239159340571
base_ets,73,<aggregated>,Test,-65.54382244696933,73.14466079235562,65.54382244696933,-14.982292781131612,14.982292781131612,1.613209544003161,1.4124957757255783,0.5630887381716103
base_ets,75,CIP,Test,5.433854549296124,7.129783354255132,5.433854549296124,9.424576518902509,9.424576518902509,0.6147951532527999,0.6447454268462904,-0.231884279084468
base_ets,75,Non CIP,Test,-15.540102354608273,42.125390779339654,33.89294320838219,-4.174741263443287,7.6352142259157,0.819190264514146,0.8169897141440958,-0.351885898836125
base_ets,75,<aggregated>,Test,-11.305186888995895,44.45332081595714,36.745743903422294,-2.9316165466762603,7.271786858297428,0.8640503900436097,0.8395676138528174,-0.3661177753124419
base_ets,76,CIP,Test,-2.293252624984262,2.5221118964716336,2.293252624984262,-80.12949388982275,80.12949388982275,0.7825933708065721,0.6761115562898408,-0.4126984126984125
base_ets,76,Non CIP,Test,-29.85958366146618,32.972472895735805,29.85958366146618,-24.65350862760323,24.65350862760323,1.3904820501597155,1.207998039760427,0.23746660296664945
base_ets,76,<aggregated>,Test,-31.148055558644597,34.29354388883305,31.148055558644597,-25.018586178559378,25.018586178559378,1.4359234284983078,1.2395816736962069,0.19995052556186824
base_ets,77,CIP,Test,2.7506057027060105,7.638150426368969,5.647872654715468,3.763767676164899,27.188539730670495,1.1757480077312736,1.2409994898577863,-0.13567983463481856
base_ets,77,Non CIP,Test,-32.57877312110112,36.60282270936271,32.57877312110112,-12.213427209445083,12.213427209445083,1.1040244285471073,0.9766450492591283,-0.08295578535060621
base_ets,77,<aggregated>,Test,-31.715434712725123,37.74711964525816,31.715434712725123,-11.319870449861414,11.319870449861414,1.0506096478131466,0.9840230278914639,7.485848144130367e-5
base_ets,78,CIP,Test,0.5287276043094995,2.359941185782682,1.259461497358417,1.744576076693859,8.311767068394234,0.285788694064621,0.42191732324851583,0.05298926157291668
base_ets,78,Non CIP,Test,-1.5811346942920856,17.38791872065202,15.606321221046654,-1.4342361729748478,7.019272498434481,0.5911343480740743,0.5243292606721695,0.45074856793492485
base_ets,78,<aggregated>,Test,-0.5843296335854511,19.12268186459133,17.138214787929396,-0.9929397400730683,7.25478381807709,0.6384745819466349,0.5658636983310941,0.4778460973094505
base_ets,79,CIP,Test,2.1761415002921938,6.2694798208714895,5.761074885057094,3.287058503641001,24.253643814523922,0.9491570023254772,0.8277896341928364,0.019922618397283095
base_ets,79,Non CIP,Test,-47.65039501475519,52.85663088469669,47.65039501475519,-16.76679579074708,16.76679579074708,1.6351704633510615,1.4291611077150246,-0.3371928443336622
base_ets,79,<aggregated>,Test,-47.53038574794846,52.47964265046763,47.53038574794846,-15.327562873267794,15.327562873267794,1.5911070317172178,1.389046300307121,-0.3577203306227753
base_ets,81,CIP,Test,-2.1542869447207997,5.045520663995612,4.389387930878482,-25.607617935021455,35.88541626067423,0.8683892476033085,0.7924669637153314,-0.519887955182073
base_ets,81,Non CIP,Test,-25.834244811727633,30.02050968137658,25.834244811727633,-13.035502116675614,13.035502116675614,1.0653905569520015,0.9895467841197727,-0.4940357723439671
base_ets,81,<aggregated>,Test,-29.953607303028598,35.102021814738414,29.953607303028598,-14.139032162861549,14.139032162861549,1.1968176533921262,1.124544804282711,-0.5133278778554766
base_ets,83,CIP,Test,-1.5280840192338416,4.519207450491828,3.8568117354067235,-15.22007531229995,24.6451251600879,0.6893791709338652,0.635112221324221,0.19571511420126034
base_ets,83,Non CIP,Test,4.257211200991113,19.383759248299672,17.43416343863611,0.6603634409924065,6.5082721386588815,0.6321586019464119,0.5469585460157593,0.4882781940583454
base_ets,83,<aggregated>,Test,3.4555033775105723,21.20270265088494,19.656617913882503,0.18940891434285742,6.991130319617712,0.7023000968948678,0.5898370142822565,0.4393439342229437
base_ets,84,CIP,Test,-1.5618470724106495,3.833730378491548,3.1431890999717003,-15.921828159074405,23.344085681837957,0.6281404799468759,0.6068029213765186,-0.4489349676390144
base_ets,84,Non CIP,Test,-58.03823571643124,59.266835803397605,58.03823571643124,-14.186279768708207,14.186279768708207,1.6552397360246707,1.325389724873203,-0.45133704822908954
base_ets,84,<aggregated>,Test,-57.971626197534604,59.23958753121819,57.971626197534604,-13.644328883111008,13.644328883111008,1.6245071972551361,1.2965094384248137,-0.5811916917578928
base_ets,88,CIP,Test,-0.5254119219801414,2.114272670157242,1.9319295243833592,-9.988528512408825,20.477406907318656,0.4781553966874746,0.42082032129674596,0.05126868288712501
base_ets,88,Non CIP,Test,-29.848556218417084,35.955032474649805,32.34905111775754,-13.415316060399102,14.3115507913455,1.444674925275901,1.2756014574674697,-0.05435488455936018
base_ets,88,<aggregated>,Test,-30.402299361472647,35.67885116480427,32.09210769009475,-12.964027943165364,13.552811332929164,1.4176109405634358,1.2541960196904591,-0.12865444893926284
base_ets,90,CIP,Test,0.8393834926075248,4.286937721725797,3.7674361599471706,-1.0974700769438464,22.925997264726533,0.7524149067067167,0.6781063011713561,-0.05579013147687074
base_ets,90,Non CIP,Test,-30.803376153169957,32.938273705636895,30.803376153169957,-15.208823374380056,15.208823374380056,1.0803250050387005,0.9109984999879774,0.026974680528861365
base_ets,90,<aggregated>,Test,-30.107389206395208,31.839560677907084,30.107389206395208,-13.686886197556754,13.686886197556754,1.0459820808625502,0.8696923706582933,-0.2248919802663242
base_ets,94,CIP,Test,0.9306225187617998,3.685704692009985,2.2614241462808073,-0.33094895223860654,19.43064768103327,0.5892673193217784,0.7505975966997677,0.1410741405882874
base_ets,94,Non CIP,Test,-13.481149407040574,15.783807096651888,13.481149407040574,-10.385450691818544,10.385450691818544,0.7778296802691752,0.7153599350351424,0.2003611476710162
base_ets,94,<aggregated>,Test,-12.994449128268567,14.570420966997487,12.994449128268567,-9.19952267533039,9.19952267533039,0.7262906248175953,0.6405709823197315,-0.06526843763397389
base_ets,<aggregated>,CIP,Test,12.160820338515544,24.730046904935875,22.90014921262712,2.551882234175167,5.363544662974445,0.6572338140647636,0.5621967943776272,0.31429258153669626
base_ets,<aggregated>,Non CIP,Test,-473.6414799897944,491.12818039119907,473.6414799897944,-8.740124667929708,8.740124667929708,1.6988835854557982,1.317958569382198,-0.14130974689332862
base_ets,<aggregated>,<aggregated>,Test,-458.4576759130023,476.40863211997646,458.4576759130023,-7.846527464209488,7.846527464209488,1.5935053655450973,1.2413677322488355,-0.1755487399997627
mint_arima,60,CIP,Test,6.702156103350193,9.01427288687664,6.8016366078683115,23.307891332061622,23.86056080160672,1.2904411950935366,1.3563558904185529,-0.049217570304492246
mint_arima,60,Non CIP,Test,-41.013219994607084,47.640843258326896,42.25445231523319,-15.420743971597615,15.823741478294401,1.339374407683261,1.1758281742226062,-0.3175000637620738
mint_arima,60,<aggregated>,Test,-34.3110638912569,41.83792382468355,36.75991048687412,-11.816371045156327,12.558445771100939,1.142022112090373,1.011611510217721,-0.10564166224177982
mint_arima,61,CIP,Test,-0.4128147172428218,4.122037214683425,3.596425523820882,-10.18438721218931,25.42106406355646,0.7621284289573445,0.6971537326724079,0.25667796317847635
