nypd_pct_cd,incident_date,cip_jobs,counts
60.0,2022-01-24,Serious,4
60.0,2022-01-25,Critical,2
60.0,2022-01-25,Non CIP,266
60.0,2022-01-25,Non Critical,11
60.0,2022-01-25,Serious,6
60.0,2022-01-26,Non CIP,284
60.0,2022-01-26,Non Critical,2
60.0,2022-01-26,Serious,3
60.0,2022-01-27,Critical,2
60.0,2022-01-27,Non CIP,206
60.0,2022-01-27,Non Critical,7
60.0,2022-01-27,Serious,4
60.0,2022-01-28,Critical,2
60.0,2022-01-28,Non CIP,274
60.0,2022-01-28,Non Critical,4
60.0,2022-01-28,Serious,2
60.0,2022-01-29,Non CIP,175
60.0,2022-01-29,Non Critical,3
60.0,2022-01-29,Serious,3
60.0,2022-01-30,Critical,3
60.0,2022-01-30,Non CIP,197
60.0,2022-01-30,Non Critical,7
60.0,2022-01-30,Serious,3
60.0,2022-01-31,Critical,1
60.0,2022-01-31,Non CIP,254
60.0,2022-01-31,Non Critical,4
60.0,2022-01-31,Serious,6
60.0,2022-02-01,Non CIP,226
60.0,2022-02-01,Non Critical,5
60.0,2022-02-01,Serious,4
60.0,2022-02-02,Critical,2
60.0,2022-02-02,Non CIP,156
60.0,2022-02-02,Non Critical,12
60.0,2022-02-02,Serious,1
60.0,2022-02-03,Non CIP,253
60.0,2022-02-03,Non Critical,6
60.0,2022-02-03,Serious,2
60.0,2022-02-04,Non CIP,236
60.0,2022-02-04,Non Critical,7
60.0,2022-02-04,Serious,5
60.0,2022-02-05,Critical,2
60.0,2022-02-05,Non CIP,205
60.0,2022-02-05,Non Critical,7
60.0,2022-02-05,Serious,2
60.0,2022-02-06,Critical,1
60.0,2022-02-06,Non CIP,177
60.0,2022-02-06,Non Critical,9
60.0,2022-02-06,Serious,7
60.0,2022-02-07,Non CIP,181
60.0,2022-02-07,Non Critical,6
60.0,2022-02-07,Serious,3
60.0,2022-02-08,Critical,1
60.0,2022-02-08,Non CIP,216
60.0,2022-02-08,Non Critical,7
60.0,2022-02-08,Serious,4
60.0,2022-02-09,Non CIP,256
60.0,2022-02-09,Non Critical,11
60.0,2022-02-09,Serious,2
60.0,2022-02-10,Critical,2
60.0,2022-02-10,Non CIP,259
60.0,2022-02-10,Non Critical,9
60.0,2022-02-10,Serious,6
60.0,2022-02-11,Critical,1
60.0,2022-02-11,Non CIP,244
60.0,2022-02-11,Non Critical,8
60.0,2022-02-11,Serious,6
