Date,MaxTemperature,MinTemperature,AvgTemperature,Precipitation,Snowfall,SnowDepth
2023-05-29,79,59,69.0,0,0,0
2023-05-30,72,55,63.5,0,0,0
2023-05-31,77,51,64.0,0,0,0
2023-06-01,87,59,73.0,0,0,0
2023-06-02,91,66,78.5,0.24,0,0
2023-06-03,69,54,61.5,0,0,0
2023-06-04,69,49,59.0,0,0,0
2023-06-05,76,56,66.0,0,0,0
2023-06-06,79,60,69.5,0.009,0,0
2023-06-07,69,57,63.0,0,0,0
2023-06-08,72,55,63.5,0,0,0
2023-06-09,72,58,65.0,0.009,0,0
2023-06-10,78,58,68.0,0.009,0,0
2023-06-11,82,64,73.0,0.01,0,0
2023-06-12,78,66,72.0,0.3,0,0
2023-06-13,78,64,71.0,0,0,0
2023-06-14,76,63,69.5,0.14,0,0
2023-06-15,77,61,69.0,0,0,0
2023-06-16,79,63,71.0,0.23,0,0
2023-06-17,77,62,69.5,0.009,0,0
2023-06-18,80,62,71.0,0,0,0
2023-06-19,81,65,73.0,0,0,0
2023-06-20,78,64,71.0,0,0,0
2023-06-21,73,62,67.5,0,0,0
2023-06-22,72,60,66.0,0.009,0,0
2023-06-23,71,65,68.0,0.04,0,0
2023-06-24,78,69,73.5,0.07,0,0
2023-06-25,85,71,78.0,0.009,0,0
2023-06-26,78,68,73.0,0.51,0,0
2023-06-27,79,66,72.5,0.08,0,0
2023-06-28,82,66,74.0,0.009,0,0
2023-06-29,82,65,73.5,0,0,0
2023-06-30,84,70,77.0,0,0,0
2023-07-01,82,69,75.5,0,0,0
2023-07-02,88,70,79.0,0.58,0,0
2023-07-03,89,72,80.5,0.45,0,0
2023-07-04,83,73,78.0,0.63,0,0
2023-07-05,93,72,82.5,0,0,0
2023-07-06,90,75,82.5,0,0,0
2023-07-07,87,74,80.5,0,0,0
2023-07-08,88,76,82.0,0,0,0
2023-07-09,82,72,77.0,0.98,0,0
2023-07-10,84,71,77.5,0.009,0,0
2023-07-11,89,68,78.5,0,0,0
2023-07-12,91,76,83.5,0,0,0
2023-07-13,88,77,82.5,0,0,0
2023-07-14,84,71,77.5,0.48,0,0
2023-07-15,88,71,79.5,0.04,0,0
2023-07-16,78,74,76.0,1.32,0,0
2023-07-17,88,74,81.0,0,0,0
2023-07-18,84,73,78.5,0.22,0,0
2023-07-19,80,72,76.0,0.009,0,0
2023-07-20,88,72,80.0,0,0,0
2023-07-21,84,71,77.5,0.15,0,0
2023-07-22,85,70,77.5,0,0,0
2023-07-23,88,69,78.5,0,0,0
2023-07-24,85,74,79.5,0,0,0
2023-07-25,86,68,77.0,0.28,0,0
2023-07-26,87,68,77.5,0,0,0
2023-07-27,92,75,83.5,0.15,0,0
2023-07-28,92,75,83.5,0.009,0,0
2023-07-29,89,70,79.5,0.06,0,0
2023-07-30,80,66,73.0,0,0,0
2023-07-31,85,66,75.5,0,0,0
2023-08-01,82,65,73.5,0.009,0,0
2023-08-02,81,64,72.5,0,0,0
2023-08-03,80,66,73.0,0.009,0,0
2023-08-04,77,71,74.0,0.009,0,0
2023-08-05,87,71,79.0,0,0,0
2023-08-06,87,69,78.0,0,0,0
2023-08-07,81,68,74.5,1.12,0,0
2023-08-08,80,70,75.0,0.01,0,0
2023-08-09,86,69,77.5,0,0,0
2023-08-10,81,70,75.5,0.48,0,0
2023-08-11,85,67,76.0,0,0,0
2023-08-12,85,69,77.0,0.009,0,0
2023-08-13,88,69,78.5,0.69,0,0
2023-08-14,87,72,79.5,0.02,0,0
2023-08-15,80,70,75.0,0.77,0,0
2023-08-16,82,69,75.5,1.33,0,0
2023-08-17,79,72,75.5,0.009,0,0
2023-08-18,80,65,72.5,0.77,0,0
2023-08-19,78,63,70.5,0,0,0
2023-08-20,85,66,75.5,0,0,0
2023-08-21,88,73,80.5,0,0,0
2023-08-22,79,67,73.0,0,0,0
2023-08-23,80,64,72.0,0,0,0
2023-08-24,73,67,70.0,0.14,0,0
2023-08-25,78,69,73.5,0.44,0,0
2023-08-26,84,73,78.5,0.52,0,0
2023-08-27,84,70,77.0,0,0,0
2023-08-28,76,69,72.5,0,0,0
2023-08-29,80,68,74.0,0.009,0,0
2023-08-30,83,68,75.5,0.27,0,0
2023-08-31,77,64,70.5,0,0,0
2023-09-01,76,61,68.5,0,0,0
2023-09-02,79,62,70.5,0,0,0
2023-09-03,88,68,78.0,0,0,0
2023-09-04,89,73,81.0,0.009,0,0
2023-09-05,92,75,83.5,0,0,0
2023-09-06,93,77,85.0,0,0,0
2023-09-07,93,76,84.5,0.009,0,0
2023-09-08,90,71,80.5,0.1,0,0
2023-09-09,84,70,77.0,0.02,0,0
2023-09-10,77,69,73.0,1.8,0,0
2023-09-11,82,69,75.5,1.66,0,0
2023-09-12,82,68,75.0,0,0,0
2023-09-13,79,70,74.5,0.22,0,0
2023-09-14,77,63,70.0,0,0,0
2023-09-15,69,58,63.5,0,0,0
2023-09-16,75,60,67.5,0,0,0
